Date,Tweet,Label
25/11/2019 0:10,"@Manuel21160307 @eavfch @JDrestrepoU @alexdavidg19 @petrogustavo Argumentos??? muestreme a su dios politico hablando de los policias muertos, el atentado en Santander.... por que no llego al voto en la JEP para favorecer a los ninos victimas de las FARC. ",2
25/11/2019 0:09,"Con la constituyente arruinan el acuerdo de paz y la JEP, asi de simple",0
25/11/2019 0:09,"@herbinhoyos @Registraduria @JEP_Colombia Muy buena noticia",1
25/11/2019 0:08,"Seamos serios: en un sistema democratico, con separacion de poderes, no es el Presidente Duque y su Gobierno el unico responsable: si vamos a dialogar, es hora de llamar a cuentas al Congreso, y sobre todo, al poder judicial JEP incluida. Los ciudadanos exigimos que trabajen bien",0
25/11/2019 0:06,"Si podria hay dos maneras El aguila destruya la JEP. Queme todo para hacer la guerra para ello le pediria que uribismo haga la constituyente. Ataque a Venezuela y queme todo. Nos derriten y absorban.",2
25/11/2019 0:06,"@elespectador Que cinismo el de Santos , ya ni vive en Colombia, extendio la guerrilla por todo el pais , les dio el monton de Curules a asesinos , eso es lo que queria y mayor presupuesto a la JEP ,",2
25/11/2019 0:05,"Convocar Asamble aconstituyente es necesaria, seria complementar el acuerdo de la esperanza, incluirlo y blindarlo con nuestra Constitucion, ese era uno de las promesa que dio Santos, la reforma agraria, desmovilizacion de grupos, proteger JEP me parece acertado. https://t.co/PSTywgR0l8",1
25/11/2019 0:05,"@QuinteroCalle no jodas q usted sabe y todos sabemos q lo q necesita Uribe para salvarse y acabar la JEP es una constituyente, no nos diga q usted nos salio paquete chileno",2
25/11/2019 0:01,"@GustavoBolivar Si les dan papaya, lo primero que hacen es acabar con el acuerdo de paz y la Jep",0
25/11/2019 0:00,"No sean locos, una constituyente es entregarle la JEP al Uribismo, entregar lo que hemos ganado en derechos a las elites y entregar el futuro a la clase politica. Se acaba el poquito pais que hay. #RENUNCIEIVANDUQUE #24nParoNacional #24NElParoSigue",2
25/11/2019 0:00,"Todo lo que has amado, sentenciaron, ha muerto. No quedo ni la sombra, se acabo para siempre. JEP",2
24/11/2019 23:55,"@MariaFdaCabal Una asamblea constituyente donde se les de muerte politica a los CORRUPTOS, donde acabemos con la JEP, LAS CORTES, donde ASESINOS Y PEDOFILOS NO sean CONGRESISTAS, donde se reduzcan el sueldo y el numero de congresista ala mitad y donde el ",2
24/11/2019 23:53,"Ya saben si ven que pido constituyente me dejan de seguir Si he sido secuestrado. Amo a la jep.",1
24/11/2019 23:51,"@SandinoVictoria Es un paramilitar uribista ya el tiempo del fascismo se esta acabando amigo la paz esta por encima de usted y todos a los q la quieren danar, q viva la JEP",1
24/11/2019 23:47,"Constituyente solo sera a para EnMendar y reponer lo q #ChaoURIBEnos Quitaron de la constitucion.. En sintesis, Estado Social de Derecho @JEP_Colombia @LaTele_Letal @angelamrobledo @petrogustavo @GustavoBolivar @josegreghg @jerojasrodrigue https://t.co/1zvCjV00Vu",0
24/11/2019 23:46,"la renuncia o una constituyente, en la que se otorgue mayor presupuesto a la JEP, mas curules para las Farc, el cumplimiento exegetico de los acuerdos con la guerrilla, el reinicio de dialogos con todos los grupos armados ilegales, https://t.co/GdPsZwP3k9",1
24/11/2019 23:43,"La propuesta de @QuinteroCalle es contraproducente! Abre la puerta para tumber la JEP, o sera que ya tambien le hace lobby al uribismo?",0
24/11/2019 23:42,"@LeilaChujfi @DIDASKALOSW @merv59 El Papa de el se acogio a la JEP?",0
24/11/2019 23:41,"LES IMPORTA UN CU.. AHORITA RESULTA QUE ES FARC A LA JEP Y LIBRE EN UN SANTIAMEN https://t.co/nHtzLrB4dP",2
24/11/2019 23:39,"@lcvelez cacerolazos a la tal JEP",2
24/11/2019 23:38,"Hacen paro por causas que desconocen. Pero, apuesto: si les pedimos que firmen #YoFirmoReferendo para derogar @jep, para reducir el Congreso y para modificar la corrupta rama judicial, no lo hacen. Les conviene que las cosas sigan asi.",1
24/11/2019 23:37,"@GustavoBolivar No!! Es justo lo que queria el Uribismo, darle eternidad a la impunidad de Uribe, unificar las cortes, derogar la JEP, todo lo que no sea a sus afines, Por favor Senador, esa no es la Salida, una Constituyente en este gobierno seria fatal,",1
24/11/2019 23:37,"Escribe la bruja: La JEP expulsara de raiz el arribismo, la traicion, robo, pedofilia, narcotrafico y hasta los peores males. Sistema esta podrido. https://t.co/McKxJdKSws",2
24/11/2019 23:32,"Ya se dieron cuenta la JEP le dara poder al pueblo. Quieren asesinarla. Necios pensar que van traicionar la ente siniestra a ultimo minuto.",2
24/11/2019 23:32,"@fdbedout @johanaaaav Clarooo pero hacen cosas tipo JEP Para que todos se la pasen por la galleta! Y ud estuvo de acuerdo!",2
24/11/2019 23:31,"@DeLaCalleHum VIEJO PENDEJO! ACASO NO DEJO USTED UNAS FARC IMPUNES EN EL CONGRESO, UNA JEP PARA GARANTIZAR IMPUNIDAD, Y LA HONRA, QUE LE ENTREGO A IVAN MARQUEZ? PORQUE SI SE MIRABAN MUY COQUETOS!!! SI NO HAY QUIEN NOS DEFIENDA, TOCA DEFENDERSE. GRACIAS A ",2
24/11/2019 23:28,"La JEP es juicio final No solo destruira a la derecha y si no tambien a la izquierda. Orden que conocemos como Colombia. Ella destruira el narcotrafico y llevandolo a la legalizacion. Una Ragnarok. https://t.co/QoacmDFUfr",1
24/11/2019 23:26,"@Aemon3428 Maestro, te acuerdas que lo habias dicho, se hara una constituyente, pa derogar la Jep, eliminar las libertades, volvemos a la anterior constitucion 1886, con lo cual podran iniciar una confrontacion belica, que nos destruira, estan esperando q",2
24/11/2019 23:26,"@NoticiasRCN Cual paz ??? . No mas JEP ... Eso es un montaje",2
24/11/2019 23:25,"@rcnradio Que repudien a los que no permitieron que los delitos sexuales contra menores no tuvieran beneficios en la deplorable @JEP_Colombia, o la impunidad a asesinos violadores que ni justo ni verdad ni reparacion. Ahh verdad que no saben que es eso y ",2
24/11/2019 23:25,"@PaolaSenadora @IvanDuque Seria importante considerar, si se puede derogar la Jep, reformar la juaticia y reducir el congreso con sus salarios",1
24/11/2019 23:21,"@IvanDuque 1. Accion contundente para detener masacre de lideres sociales con verificacion de @MisionONUCol 2. Implementar seriamente JEP y #acuerdodepaz 3. Parar en seco la corrupcion, implementando #PliegosTipo para todo tipo de licitaciones de entes te",1
24/11/2019 23:20,"que queden solo 100 congresistas, 1 de cada dpto. En el congreso. Y reformar las cortes, la jep y las otras, que estan podridas Y que les salga el tiro por la culata a la izquierda cinica e hipocrita.",2
24/11/2019 23:20,"Si tanto queremos cambios promovamos la constituyente, para sacar un poco de vagos y asesinos violadores de ninos que estan en el congreso, que queden solo 100 representantes, 1 de cada dpto. En el congreso.Y reformar las cortes, la jep y las otras que estan podridas...",1
24/11/2019 23:19,"Le advierto que una constituyente es contra oueblo. Eligan defender la paz, la JEP o morir con nueva guerra contra Venezuela.",1
24/11/2019 23:13,"28 de noviembre, Fecode entregara a la JEP el informe #LaVidaPorEducar sobre victimizacion contra el magisterio colombiano. Este informe es un gran esfuerzo por comenzar a esclarecer la historia de la violencia contra el Magisterio colombiano. https://t.co/Vrn4GGQ014",0
24/11/2019 23:12,"@mancipjavier @EscorpionXCO @NCAntioquia @SantiApostol659 Porque ellos manifestaron que ya no habian ninos reclutados por la guerrilla, se acogieron a la JEP con la condicion que habian entregado todos los ninos que tenian reclutadoa",0
